adc_raw,lux
683,7.004560
695,7.158098
708,7.315001
721,7.475344
734,7.639201
747,7.806650
760,7.977770
774,8.152640
787,8.331344
801,8.513965
815,8.700588
830,8.891302
844,9.086197
859,9.285363
873,9.488896
888,9.696890
904,9.909443
919,10.126655
934,10.348628
950,10.575467
966,10.807279
982,11.044170
999,11.286256
1015,11.533647
1032,11.786461
1048,12.044817
1065,12.308836
1083,12.578642
1100,12.854362
1118,13.136126
1135,13.424066
1153,13.718317
1171,14.019018
1189,14.326311
1208,14.640340
1226,14.961252
1245,15.289198
1264,15.624332
1283,15.966813
1302,16.316801
1321,16.674461
1341,17.039961
1360,17.413471
1380,17.795170
1400,18.185234
1420,18.583849
1440,18.991201
1461,19.407482
1481,19.832890
1502,20.267620
1522,20.711882
1543,21.165878
1564,21.629829
1585,22.103949
1606,22.588461
1627,23.083593
1649,23.589579
1670,24.106655
1692,24.635065
1713,25.175058
1735,25.726889
1757,26.290815
1778,26.867102
1800,27.456020
1822,28.057848
1844,28.672869
1866,29.301369
1888,29.943647
1910,30.600002
1932,31.270746
1954,31.956190
1977,32.656662
1999,33.372486
2021,34.104000
2043,34.851551
2065,35.615486
2088,36.396168
2110,37.193962
2132,38.009239
2154,38.842392
2176,39.693806
2198,40.563881
2220,41.453030
2242,42.361668
2264,43.290226
2286,44.239132
2308,45.208843
2330,46.199806
2352,47.212494
2373,48.247375
2395,49.304947
2416,50.385696
2438,51.490135
2459,52.618782
2480,53.772171
2502,54.950840
2523,56.155346
2544,57.386257
2564,58.644146
2585,59.929607
2606,61.243248
2626,62.585682
2647,63.957542
2667,65.359474
2687,66.792130
2707,68.256195
2727,69.752350
2746,71.281303
2766,72.843765
2785,74.440483
2805,76.072197
2824,77.739677
2843,79.443703
2861,81.185089
2880,82.964645
2898,84.783203
2917,86.641624
2935,88.540787
2953,90.481575
2971,92.464905
2988,94.491707
3006,96.562935
3023,98.679565
3040,100.842590
3057,103.053032
3074,105.311928
3090,107.620331
3106,109.979340
3123,112.390053
3139,114.853607
3154,117.371170
3170,119.943909
3185,122.573044
3201,125.259811
3216,128.005463
3231,130.811310
3245,133.678650
3260,136.608856
3274,139.603271
3288,142.663345
3302,145.790482
3316,148.986160
3330,152.251892
3343,155.589218
3356,158.999680
3369,162.484909
3382,166.046524
3395,169.686218
3407,173.405685
3420,177.206696
3432,181.091003
3444,185.060471
3455,189.116943
3467,193.262329
3479,197.498581
3490,201.827698
3501,206.251694
3512,210.772675
3523,215.392746
3533,220.114090
3544,224.938934
3554,229.869522
3564,234.908203
3574,240.057312
3584,245.319305
3593,250.696625
3603,256.191833
3612,261.807465
3621,267.546204
3630,273.410767
3639,279.403839
3648,285.528290
3656,291.786987
3665,298.182861
3673,304.718933
3681,311.398285
3689,318.224060
3697,325.199432
3705,332.327698
3712,339.612244
3720,347.056427
3727,354.663818
3734,362.437927
3741,370.382477
3748,378.501129
3755,386.797760
3762,395.276276
3768,403.940613
3775,412.794861
3781,421.843201
3787,431.089874
3794,440.539246
3800,450.195740
3805,460.063904
3811,470.148376
3817,480.453888
3823,490.985291
3828,501.747528
3833,512.745667
3839,523.984924
3844,535.470520
3849,547.207886
3854,559.202515
3859,571.460083
3863,583.986328
3868,596.787109
3873,609.868530
3877,623.236633
3882,636.897827
3886,650.858398
3890,665.125061
3894,679.704407
3899,694.603333
3903,709.828796
3907,725.388062
3910,741.288330
3914,757.537170
3918,774.142151
3922,791.111145
3925,808.452026
3929,826.173096
3932,844.282532
3935,862.789001
3939,881.701050
3942,901.027710
3945,920.777954
3948,940.961121
3951,961.586731
3954,982.664429
3957,1004.204102
3960,1026.215942
3963,1048.710327
3965,1071.697754
3968,1095.189087
3971,1119.195312
3973,1143.727661
3976,1168.797852
3978,1194.417603
3981,1220.598877
3983,1247.354004
3986,1274.695679
3988,1302.636597
3990,1331.190063
3992,1360.369385
3994,1390.188232
3997,1420.660767
3999,1451.801147
4001,1483.624268
4003,1516.144897
4005,1549.378296
4006,1583.340210
4008,1618.046631
4010,1653.513672
4012,1689.758179
4014,1726.797241
4015,1764.648071
4017,1803.328735
4019,1842.857056
4020,1883.251953
4022,1924.532349
4023,1966.717529
4025,2009.827393
4026,2053.882080
4028,2098.902588
4029,2144.909912
4031,2191.925781
4032,2239.972168
4033,2289.071777
4035,2339.247559
4036,2390.523193
4037,2442.922607
4038,2496.470703
4040,2551.192627
4041,2607.114014
4042,2664.261230
4043,2722.661133
4044,2782.341064
4045,2843.329102
4046,2905.654053
4047,2969.345215
4048,3034.432373
4049,3100.946289
4050,3168.917969
4051,3238.379639
4052,3309.364014
4053,3381.904297
4054,3456.034668
4055,3531.790039
4056,3609.205811
4057,3688.318604
4057,3769.165283
4058,3851.784424
4059,3936.214355
4060,4022.494873
4060,4110.666992
4061,4200.771484
4062,4292.851074
4063,4386.949219
4063,4483.109863
4064,4581.378418
4065,4681.800781
4065,4784.424316
4066,4889.297363
4067,4996.469727
4067,5105.990723
4068,5217.912598
4068,5332.287598
4069,5449.169922
4069,5568.613770
4070,5690.676270
4071,5815.414551
4071,5942.886719
4072,6073.152832
4072,6206.274414
4073,6342.314453
4073,6481.335938
4073,6623.404785
4074,6768.587891
4074,6916.953613
4075,7068.570801
4075,7223.512207
4076,7381.849121
4076,7543.657227
4076,7709.011719
4077,7877.991211
4077,8050.674316
4078,8227.142578
4078,8407.479492
4078,8591.768555
4079,8780.097656
4079,8972.554688
4079,9169.230469
4080,9370.217773
4080,9575.610352
4080,9785.504883
4081,10000.000000
